,chemicalFormula,mpID,volume,volumeUnits,formationEnergy,formationEnergyUnits,bandGap,bandGapUnits,density,densityUnits,crystalSystem
0,MnSnO3,mp-25005,125.96271127845802,$\AA^3$,-2.100244486217862,eV/atom,0.8775999999999993,eV,5.843828110405965,g/cm$^3$,trigonal
1,Cs2PSe5,mp-569060,614.4241381584811,$\AA^3$,-0.6585584532579984,eV/atom,1.4721000000000002,eV,3.738144982941621,g/cm$^3$,triclinic
2,CuRhO2,mp-14116,48.7048296218524,$\AA^3$,-0.9745991256249997,eV/atom,0.9581,eV,6.765950103771107,g/cm$^3$,trigonal
3,Rb2S,mp-8041,120.40044703424996,$\AA^3$,-1.0063306480208334,eV/atom,1.9641,eV,2.799743735091461,g/cm$^3$,cubic
4,Ti3(BiO3)4,mp-23427,505.97850174165103,$\AA^3$,-2.567636172631579,eV/atom,2.424899999999999,eV,7.689444952916849,g/cm$^3$,orthorhombic
5,LiRhO2,mp-14115,39.311898884543524,$\AA^3$,-1.570079985625,eV/atom,1.513,eV,5.991561030991809,g/cm$^3$,trigonal
6,LaCrO3,mp-19281,246.43493897449852,$\AA^3$,-3.1934798477499995,eV/atom,2.1644999999999994,eV,6.439060434429707,g/cm$^3$,orthorhombic
7,Ba4Na(SbO4)3,mp-6273,297.7453458530332,$\AA^3$,-2.5552936100000005,eV/atom,1.5158000000000005,eV,6.299664866067826,g/cm$^3$,cubic
8,Li2CuP2O7,mp-6412,307.61875615116094,$\AA^3$,-2.4627417808283725,eV/atom,0.7377,eV,2.713825856055339,g/cm$^3$,monoclinic
9,CeP2O7,mp-22524,706.4239198898335,$\AA^3$,-3.1289511807440484,eV/atom,1.5859,eV,2.9529449177557763,g/cm$^3$,cubic
10,NaNbO2,mp-3744,90.70891069792607,$\AA^3$,-2.5397658143749995,eV/atom,1.3781999999999996,eV,5.414800323566798,g/cm$^3$,hexagonal
11,LaFeO3,mp-542920,251.93609759362133,$\AA^3$,-2.9402109032499992,eV/atom,1.3628999999999998,eV,6.3999342437411935,g/cm$^3$,orthorhombic
12,NaZnP,mp-4824,114.75702990005735,$\AA^3$,-0.4089521443650795,eV/atom,0.9143000000000003,eV,3.454650829868348,g/cm$^3$,tetragonal
13,Bi2SO2,mp-27891,183.2099825911195,$\AA^3$,-1.2532934183125,eV/atom,0.8247,eV,8.737740136854905,g/cm$^3$,orthorhombic
14,CsTiCu3Se4,mp-570706,456.5418139986361,$\AA^3$,-0.7488334001157403,eV/atom,1.2487999999999997,eV,4.999349846444504,g/cm$^3$,monoclinic
